Company_Name,City,Country,Location
Angry Skull Studios,Tucson,United States,Tucson
Another Axiom,Casas Adobes,United States,Tucson
Lunarwood Studios,Tucson,United States,Tucson
Riverman Media,Tucson,United States,Tucson
Running With Scissors,Tucson,United States,Tucson
Abrams Studios,Hamlet,United States,Indianapolis
Basilisk Games,Indianapolis,United States,Indianapolis
Clique Games,Fort Wayne,United States,Indianapolis
colorfiction,Fort Wayne,United States,Indianapolis
Crosscut Games,Indianapolis,United States,Indianapolis
Darkmatter Games,Indianapolis,United States,Indianapolis
Dreamspike Studios,Fort Wayne,United States,Indianapolis
Freehold Games,North Liberty,United States,Indianapolis
igda Indianapolis Charter,Indiapolis,United States,Indianapolis
Lemon Seed Studios,Fort Wayne,United States,Indianapolis
Mommy's Best Games,Charlestown,United States,Indianapolis
Nooner Bear Studio,Avon,United States,Indianapolis
Plow Games,Indianapolis,United States,Indianapolis
Positive Concept Games,Corydon,United States,Indianapolis
Studio Cypher,Bloomington,United States,Indianapolis
Ambitious Games,Marquette,United States,Grand Rapids
Beefy Star Games,Grand Rapids,United States,Grand Rapids
Castle Coast Games,Grand Rapids,United States,Grand Rapids
Dyscordian Entertainment,Grand Rapids,United States,Grand Rapids
Faycrest Studios,Big Rapids,United States,Grand Rapids
Finji,Grand Rapids,United States,Grand Rapids
For Real Games,Rockford,United States,Grand Rapids
Geeta Games,Kalamazoo,United States,Grand Rapids
Husky Games,Houghton,United States,Grand Rapids
Knick-Knack Games,Grand Rapids,United States,Grand Rapids
Protege Games Studios,Grand Rapids,United States,Grand Rapids
Right Stick Studios,Grand Rapids,United States,Grand Rapids
Rightstick Studios,Grand Rapids,United States,Grand Rapids
Treefort Studios,Grand Rapids,United States,Grand Rapids
AfroDuck Studios,Columbus,United States,Columbus
Anuke,Lewis Center,United States,Columbus
Augment Therapy,Chagrin Falls,United States,Columbus
Beawesome Games,Canton,United States,Columbus
Berell,Cincinnati,United States,Columbus
Fletcher Studios,Lakewood,United States,Columbus
Flipline Studios,Cleveland,United States,Columbus
Gylee Games,Cincinnati,United States,Columbus
Lantern Light Studios,Athens,United States,Columbus
Lasso Games,Huntington,United States,Columbus
Lazy Lion Games,Columbus,United States,Columbus
Lifelong Games,Cincinnati,United States,Columbus
Moonroof Studios,Cleveland,United States,Columbus
Multivarious Games,Columbus,United States,Columbus
Nectar Game Studios,Cincinnati,United States,Columbus
Pie for Breakfast Studios,Cleveland,United States,Columbus
Polytundra,Cleveland,United States,Columbus
RxGames,Columbus,United States,Columbus
Snowbright Studio,Cleveland,United States,Columbus
Socent Studios,Cleveland,United States,Columbus
Square Table Games,Kent,United States,Columbus
Studio Zevere,Cleveland,United States,Columbus
Surgical Theater,Beachwood,United States,Columbus
The Central Ohio Gamedev Group (COGG),Columbus,United States,Columbus
Truant Pixel,Dayton,United States,Columbus
WhatIf Sports,Cincinnati,United States,Columbus
Wraith Games,Hamilton,United States,Columbus
Alkonost Team,Belgrade,Serbia,Belgrade
Altfuture,Belgrade,Serbia,Belgrade
Demagog Studio,Belgrade,Serbia,Belgrade
Digital Arrow,Temerin,Serbia,Belgrade
Ebb Software (Kepler Interactive),Belgrade,Serbia,Belgrade
Eipix,Novi Sad,Serbia,Belgrade
Eipix Entertainment,Novi Sad,Serbia,Belgrade
Flat Hill Games,Vrsac,Serbia,Belgrade
Foxy Voxel,Novi Sad,Serbia,Belgrade
GFA Games Studio,Belgrade,Serbia,Belgrade
GravityCode,Nis,Serbia,Belgrade
Hypnohead,Belgrade,Serbia,Belgrade
Lav Games,Belgrade,Serbia,Belgrade
LavGames,Belgrade,Serbia,Belgrade
Moonburnt Studio,Belgrade,Serbia,Belgrade
NeuroBlast Games,Belgrade,Serbia,Belgrade
Nordeus (Take-Two Interactive Software),Belgrade,Serbia,Belgrade
Peaksel,Nis,Serbia,Belgrade
Pet Project Games,Belgrade,Serbia,Belgrade
Serbian Games Association (SGA),Belgrade,Serbia,Belgrade
Sozap,Nis,Serbia,Belgrade
SportSpired Games,Belgrade,Serbia,Belgrade
Superverse Industries,Belgrade,Serbia,Belgrade
Ubisoft Belgrade,Belgrade,Serbia,Belgrade
V5 Play,Kragujevac,Serbia,Belgrade
Wargaming Belgrade,Belgrade,Serbia,Belgrade
Alice Games,Istanbul,Turkey,Istanbul
Alpaka Games,Istanbul,Turkey,Istanbul
Aral Ithalat,Istanbul,Turkey,Istanbul
ArcadeMonk,Istanbul,Turkey,Istanbul
Atom Games,Istanbul,Turkey,Istanbul
Bigger Games,Istanbul,Turkey,Istanbul
Catoptric Games,Istanbul,Turkey,Istanbul
Consala Games,Kadikoy,Turkey,Istanbul
Core Engage Games,Ortakoy,Turkey,Istanbul
Cultic Games,Istanbul,Turkey,Istanbul
DiceHit Games,Istanbul,Turkey,Istanbul
Digitoy Games,Izmir,Turkey,Istanbul
Dream Harvesters,Antalya,Turkey,Istanbul
Ela Game Studio,Izmir,Turkey,Istanbul
Espale Studios,Istanbul,Turkey,Istanbul
Fugo Games,Istanbul,Turkey,Istanbul
Fusee,Istanbul,Turkey,Istanbul
Gamegos,Istanbul,Turkey,Istanbul
Gamester,Istanbul,Turkey,Istanbul
Good Job Games,Istanbul,Turkey,Istanbul
Gorilla Softworks,Izmir,Turkey,Istanbul
Gram Games (Zynga),Istanbul,Turkey,Istanbul
Grand Games,Istanbul,Turkey,Istanbul
HOGO Games,Kocaeli,Turkey,Istanbul
Joygame Publishing,Istanbul,Turkey,Istanbul
Keep Games,Istanbul,Turkey,Istanbul
Kiki Games,Konyaalti,Turkey,Istanbul
Lokum Games (InGame Group),Istanbul,Turkey,Istanbul
Madbyte,Istanbul,Turkey,Istanbul
Madbyte Games (InGame Group),Istanbul,Turkey,Istanbul
Madpoly Game Studio,Izmir,Turkey,Istanbul
Metaphor Games,?zmir,Turkey,Istanbul
Metavision Studio,Istanbul,Turkey,Istanbul
Momentum Digital Media Technologies,Kocaeli,Turkey,Istanbul
Motion Blur,Istanbul,Turkey,Istanbul
NEO AUVRA,Istanbul,Turkey,Istanbul
Nonereal Games,Istanbul,Turkey,Istanbul
Nowhere Studios,Istanbul,Turkey,Istanbul
Nyctophile Studios,Istanbul,Turkey,Istanbul
Oldmoustache Gameworks,Istanbul,Turkey,Istanbul
OyunSt�dyosu,Istanbul,Turkey,Istanbul
Peak Games (Take-Two Interactive Software),Istanbul,Turkey,Istanbul
Permanent Way,Istanbul,Turkey,Istanbul
Phew Phew Games,Istanbul,Turkey,Istanbul
Pine Games,Istanbul,Turkey,Istanbul
Proud Dinosaurs,Istanbul,Turkey,Istanbul
Rollic (Take-Two Interactive),Istanbul,Turkey,Istanbul
Rollic Games (Take-Two Interactive),Istanbul,Turkey,Istanbul
Ruby Games (Rovio),Izmir,Turkey,Istanbul
Shadowfall Game Studios,Istanbul,Turkey,Istanbul
Shadowfall Studios,Istanbul,Turkey,Istanbul
Sirius Games,Istanbul,Turkey,Istanbul
Startgate,Istanbul,Turkey,Istanbul
Surpass Games,Antalya,Turkey,Istanbul
TaleMonster Games,Istanbul,Turkey,Istanbul
Tayfun Tuna,Izmir,Turkey,Istanbul
Utopic,Istanbul,Turkey,Istanbul
Vertigo Games,Istanbul,Turkey,Istanbul
VoctoR Health,Istanbul,Turkey,Istanbul
Wolves Interactive,Istanbul,Turkey,Istanbul
Yeti Game Studio,Istanbul,Turkey,Istanbul
Aesir Interactive,Munich,Germany,Munich
Bonus Level Entertainment,Munich,Germany,Munich
Bulkhead Darkhorse,Munich,Germany,Munich
Chimera Entertainment,Munich,Germany,Munich
Cobalt Lane,Munich,Germany,Munich
CodePEAS,Munich,Germany,Munich
Deep Silver Germany (Koch Media),Planegg,Germany,Munich
Delightex,Munich,Germany,Munich
Digitalmindsoft,Ulm,Germany,Munich
Dionic Software,Munich,Germany,Munich
eXplore Studio,Munich,Germany,Munich
FDG Entertainment,Munich,Germany,Munich
Grimlore Games (THQ Nordic),Munich,Germany,Munich
Hologate,Munich,Germany,Munich
Icebird Studios,Munich,Germany,Munich
Innoactive,Munich,Germany,Munich
Irox Games,Munich,Germany,Munich
L-F Studio,Munich,Germany,Munich
MegaZebra,Munich,Germany,Munich
Mimimi Productions,Munich,Germany,Munich
Mixtvision Games Publishing,Munich,Germany,Munich
Morphicon,Munich,Germany,Munich
Potato Games Studio,Munich,Germany,Munich
Prime Matter (PLAION),Munich,Germany,Munich
Ravenscourt,Planegg,Germany,Munich
Reality Twist,Munich,Germany,Munich
RealmForge Studios,Munich,Germany,Munich
remote control productions,Munich,Germany,Munich
Salmi Games,Munich,Germany,Munich
Schine,Munich,Germany,Munich
SenAm Games,Munich,Germany,Munich
Shin'en Multimedia,Munich,Germany,Munich
Sixteen Tons Entertainment,T�bingen,Germany,Munich
Take 2 Interactive GmbH,Munich,Germany,Munich
Thera Bytes,Munich,Germany,Munich
Thogli Studios,Furstenfeldbruck,Germany,Munich
ThreeDee,Munich,Germany,Munich
Travian Games,Munich,Germany,Munich
Travian Publishing,Munich,Germany,Munich
Vivid Storm Interactive,Fahrenzhausen,Germany,Munich
Welevel,Munich,Germany,Munich
Wolpertinger Games,Munich,Germany,Munich
A Bonfire of Souls,Malaga,Spain,Malaga
AxesInMotion (gamigo Group),Seville,Spain,Malaga
Codemanu,Cadiz,Spain,Malaga
Gatolnary Games,Cabra,Spain,Malaga
Genjoy (Scopely),Seville,Spain,Malaga
HyperMegaPixel,Cordoba,Spain,Malaga
Malapata Studio,Malaga,Spain,Malaga
Megalevel,Cadiz,Spain,Malaga
Odders,Seville,Spain,Malaga
Pixelatto,Malaga,Spain,Malaga
Raptor Claw Games,Seville,Spain,Malaga
Silent Road Games,Malaga,Spain,Malaga
The Game Kitchen,Seville,Spain,Malaga
Video Games Without Borders,Malaga,Spain,Malaga
2nd Player Games,Lima,Peru,Lima
Artigames,Lima,Peru,Lima
Asociacion Peruana de Deportes Electronicos y Videojuegos (APDEV),San Miguel,Peru,Lima
Bamtang Games,Lima,Peru,Lima
Boomware Studio,Lima,Peru,Lima
Dazard Studio,Surquillo,Peru,Lima
Dream Potion Games,Lima,Peru,Lima
FemDevsPeru,Lima,Peru,Lima
igda Peru Chapter,Lima,Peru,Lima
Leap Game Studios,Lima,Peru,Lima
Mr. iO Games,Lima,Peru,Lima
Unforgiven,Lima,Peru,Lima
All4One,Angouleme,France,Bordeaux
Anarkis Gaming,Bordeaux,France,Bordeaux
Assoupi,La Rochelle,France,Bordeaux
Aurora Game Studio,Angouleme,France,Bordeaux
Big Bad Wolf,Bordeaux,France,Bordeaux
Brain Up Studio,Bordeaux,France,Bordeaux
Bulwark Studios,Angouleme,France,Bordeaux
Darenn Keller,Bordeaux,France,Bordeaux
Deepnight Games,Bordeaux,France,Bordeaux
Doot,Landes,France,Bordeaux
Evil Empire Studio,Bordeaux,France,Bordeaux
Goloso Games,Bordeaux,France,Bordeaux
Headbang Club,Bordeaux,France,Bordeaux
Hibernian Workshop,Angouleme,France,Bordeaux
Ludocube,La Rochelle,France,Bordeaux
Nocturne Games,Bordeaux,France,Bordeaux
Nova-box,Bordeaux,France,Bordeaux
Onibi,Bordeaux,France,Bordeaux
ORAGEgames,Bordeaux,France,Bordeaux
pataya,Bordeaux,France,Bordeaux
Pixel Wrappers,Aquitaine,France,Bordeaux
shinypix,Bordeaux,France,Bordeaux
Shiro Games,Bordeaux,France,Bordeaux
Studio Nyx,Angouleme,France,Bordeaux
Sweet Nitro,Bordeaux,France,Bordeaux
The Moon Pirates,Bordeaux,France,Bordeaux
Ubisoft Bordeaux,Bordeaux,France,Bordeaux
Umanimation,Bordeaux,France,Bordeaux
UN JE NE SAIS QUOI,Bordeaux,France,Bordeaux
Aventurine SA,Athens,Greece,Athens
Bandai Namco Entertainment Hellas,Agia Paraskevi,Greece,Athens
Beyond Those Hills,Athens,Greece,Athens
Dionous Games,Athens,Greece,Athens
Dragontale,Athens,Greece,Athens
eNVy Softworks,Patras,Greece,Athens
