Company_Name,City,Country,Location,query_address,Latitude,Longitude
Angry Skull Studios,Tucson,United States,Tucson,"Tucson, United States",32.2228765,-110.974847
Another Axiom,Casas Adobes,United States,Tucson,"Casas Adobes, United States",32.3231877,-110.9952215
Lunarwood Studios,Tucson,United States,Tucson,"Tucson, United States",32.2228765,-110.974847
Riverman Media,Tucson,United States,Tucson,"Tucson, United States",32.2228765,-110.974847
Running With Scissors,Tucson,United States,Tucson,"Tucson, United States",32.2228765,-110.974847
Abrams Studios,Hamlet,United States,Indianapolis,"Hamlet, United States",34.8863657,-79.6972143
Basilisk Games,Indianapolis,United States,Indianapolis,"Indianapolis, United States",39.7683331,-86.1583502
Clique Games,Fort Wayne,United States,Indianapolis,"Fort Wayne, United States",41.0799898,-85.1386015
colorfiction,Fort Wayne,United States,Indianapolis,"Fort Wayne, United States",41.0799898,-85.1386015
Crosscut Games,Indianapolis,United States,Indianapolis,"Indianapolis, United States",39.7683331,-86.1583502
Darkmatter Games,Indianapolis,United States,Indianapolis,"Indianapolis, United States",39.7683331,-86.1583502
Dreamspike Studios,Fort Wayne,United States,Indianapolis,"Fort Wayne, United States",41.0799898,-85.1386015
Freehold Games,North Liberty,United States,Indianapolis,"North Liberty, United States",41.7478297,-91.6064397
igda Indianapolis Charter,Indiapolis,United States,Indianapolis,"Indiapolis, United States",,
Lemon Seed Studios,Fort Wayne,United States,Indianapolis,"Fort Wayne, United States",41.0799898,-85.1386015
Mommy's Best Games,Charlestown,United States,Indianapolis,"Charlestown, United States",42.3778749,-71.0619957
Nooner Bear Studio,Avon,United States,Indianapolis,"Avon, United States",40.6642065,-90.4348506
Plow Games,Indianapolis,United States,Indianapolis,"Indianapolis, United States",39.7683331,-86.1583502
Positive Concept Games,Corydon,United States,Indianapolis,"Corydon, United States",40.7576063,-93.3182112
Studio Cypher,Bloomington,United States,Indianapolis,"Bloomington, United States",39.1670396,-86.5342881
Ambitious Games,Marquette,United States,Grand Rapids,"Marquette, United States",46.4481521,-87.6305899
Beefy Star Games,Grand Rapids,United States,Grand Rapids,"Grand Rapids, United States",42.9632425,-85.6678639
Castle Coast Games,Grand Rapids,United States,Grand Rapids,"Grand Rapids, United States",42.9632425,-85.6678639
Dyscordian Entertainment,Grand Rapids,United States,Grand Rapids,"Grand Rapids, United States",42.9632425,-85.6678639
Faycrest Studios,Big Rapids,United States,Grand Rapids,"Big Rapids, United States",43.698078,-85.483656
Finji,Grand Rapids,United States,Grand Rapids,"Grand Rapids, United States",42.9632425,-85.6678639
For Real Games,Rockford,United States,Grand Rapids,"Rockford, United States",42.2713945,-89.093966
Geeta Games,Kalamazoo,United States,Grand Rapids,"Kalamazoo, United States",42.291707,-85.5872286
Husky Games,Houghton,United States,Grand Rapids,"Houghton, United States",46.8591287,-88.7774734
Knick-Knack Games,Grand Rapids,United States,Grand Rapids,"Grand Rapids, United States",42.9632425,-85.6678639
Protege Games Studios,Grand Rapids,United States,Grand Rapids,"Grand Rapids, United States",42.9632425,-85.6678639
